,weight,total_gross_income,pitax,table_row
0,10.0,0.0,0.0,1
13578,10.0,0.0,0.0,1
13579,10.0,0.0,0.0,1
6899,10.0,0.0,0.0,1
13614,10.0,0.0,0.0,1
13616,10.0,0.0,0.0,1
13618,10.0,0.0,0.0,1
13627,10.0,0.0,0.0,1
13629,10.0,0.0,0.0,1
13577,10.0,0.0,0.0,1
13637,10.0,0.0,0.0,1
6870,10.0,0.0,0.0,1
13696,10.0,0.0,0.0,1
6860,10.0,0.0,0.0,1
2236,10.0,0.0,0.0,1
13729,10.0,0.0,0.0,1
13731,10.0,0.0,0.0,1
13753,10.0,0.0,0.0,1
6850,10.0,0.0,0.0,1
13653,10.0,0.0,0.0,1
13760,10.0,0.0,0.0,1
6911,10.0,0.0,0.0,1
13548,10.0,0.0,0.0,1
6969,10.0,0.0,0.0,1
13420,10.0,0.0,0.0,1
13431,10.0,0.0,0.0,1
13444,10.0,0.0,0.0,1
13468,10.0,0.0,0.0,1
6947,10.0,0.0,0.0,1
2191,10.0,0.0,0.0,1
2194,10.0,0.0,0.0,1
13553,10.0,0.0,0.0,1
6945,10.0,0.0,0.0,1
13494,10.0,0.0,0.0,1
13497,10.0,0.0,0.0,1
13509,10.0,0.0,0.0,1
13521,10.0,0.0,0.0,1
13522,10.0,0.0,0.0,1
6924,10.0,0.0,0.0,1
13525,10.0,0.0,0.0,1
13542,10.0,0.0,0.0,1
13471,10.0,0.0,0.0,1
13762,10.0,0.0,0.0,1
6843,10.0,0.0,0.0,1
13770,10.0,0.0,0.0,1
13999,10.0,0.0,0.0,1
14018,10.0,0.0,0.0,1
14030,10.0,0.0,0.0,1
6754,10.0,0.0,0.0,1
14088,10.0,0.0,0.0,1
6750,10.0,0.0,0.0,1
14090,10.0,0.0,0.0,1
14105,10.0,0.0,0.0,1
13985,10.0,0.0,0.0,1
6745,10.0,0.0,0.0,1
2294,10.0,0.0,0.0,1
14153,10.0,0.0,0.0,1
14161,10.0,0.0,0.0,1
14164,10.0,0.0,0.0,1
14166,10.0,0.0,0.0,1
14178,10.0,0.0,0.0,1
14196,10.0,0.0,0.0,1
14206,10.0,0.0,0.0,1
6732,10.0,0.0,0.0,1
13980,10.0,0.0,0.0,1
13965,10.0,0.0,0.0,1
2271,10.0,0.0,0.0,1
13776,10.0,0.0,0.0,1
13779,10.0,0.0,0.0,1
13784,10.0,0.0,0.0,1
13785,10.0,0.0,0.0,1
6829,10.0,0.0,0.0,1
13812,10.0,0.0,0.0,1
13822,10.0,0.0,0.0,1
2255,10.0,0.0,0.0,1
6824,10.0,0.0,0.0,1
13876,10.0,0.0,0.0,1
13879,10.0,0.0,0.0,1
6810,10.0,0.0,0.0,1
6809,10.0,0.0,0.0,1
13931,10.0,0.0,0.0,1
13932,10.0,0.0,0.0,1
13953,10.0,0.0,0.0,1
6791,10.0,0.0,0.0,1
13954,10.0,0.0,0.0,1
13955,10.0,0.0,0.0,1
13375,10.0,0.0,0.0,1
2178,10.0,0.0,0.0,1
13369,10.0,0.0,0.0,1
6984,10.0,0.0,0.0,1
7159,10.0,0.0,0.0,1
12817,10.0,0.0,0.0,1
12820,10.0,0.0,0.0,1
12844,10.0,0.0,0.0,1
12854,10.0,0.0,0.0,1
7146,10.0,0.0,0.0,1
12862,10.0,0.0,0.0,1
12876,10.0,0.0,0.0,1
7163,10.0,0.0,0.0,1
12885,10.0,0.0,0.0,1
7136,10.0,0.0,0.0,1
12925,10.0,0.0,0.0,1
7132,10.0,0.0,0.0,1
12927,10.0,0.0,0.0,1
7130,10.0,0.0,0.0,1
12936,10.0,0.0,0.0,1
7121,10.0,0.0,0.0,1
12939,10.0,0.0,0.0,1
12886,10.0,0.0,0.0,1
12793,10.0,0.0,0.0,1
7170,10.0,0.0,0.0,1
12768,10.0,0.0,0.0,1
12579,10.0,0.0,0.0,1
2041,10.0,0.0,0.0,1
12591,10.0,0.0,0.0,1
7226,10.0,0.0,0.0,1
12619,10.0,0.0,0.0,1
12631,10.0,0.0,0.0,1
12645,10.0,0.0,0.0,1
12656,10.0,0.0,0.0,1
7213,10.0,0.0,0.0,1
12658,10.0,0.0,0.0,1
12669,10.0,0.0,0.0,1
12674,10.0,0.0,0.0,1
12700,10.0,0.0,0.0,1
12712,10.0,0.0,0.0,1
12743,10.0,0.0,0.0,1
12753,10.0,0.0,0.0,1
12756,10.0,0.0,0.0,1
12765,10.0,0.0,0.0,1
12767,10.0,0.0,0.0,1
12956,10.0,0.0,0.0,1
6704,10.0,0.0,0.0,1
12965,10.0,0.0,0.0,1
7109,10.0,0.0,0.0,1
7040,10.0,0.0,0.0,1
7039,10.0,0.0,0.0,1
13275,10.0,0.0,0.0,1
13279,10.0,0.0,0.0,1
13287,10.0,0.0,0.0,1
13298,10.0,0.0,0.0,1
13299,10.0,0.0,0.0,1
13310,10.0,0.0,0.0,1
7042,10.0,0.0,0.0,1
7019,10.0,0.0,0.0,1
13333,10.0,0.0,0.0,1
2162,10.0,0.0,0.0,1
7006,10.0,0.0,0.0,1
13339,10.0,0.0,0.0,1
13352,10.0,0.0,0.0,1
13354,10.0,0.0,0.0,1
13360,10.0,0.0,0.0,1
13366,10.0,0.0,0.0,1
7011,10.0,0.0,0.0,1
13237,10.0,0.0,0.0,1
2146,10.0,0.0,0.0,1
13233,10.0,0.0,0.0,1
7108,10.0,0.0,0.0,1
12978,10.0,0.0,0.0,1
12986,10.0,0.0,0.0,1
7097,10.0,0.0,0.0,1
12997,10.0,0.0,0.0,1
13004,10.0,0.0,0.0,1
7094,10.0,0.0,0.0,1
13005,10.0,0.0,0.0,1
13028,10.0,0.0,0.0,1
13035,10.0,0.0,0.0,1
2126,10.0,0.0,0.0,1
13048,10.0,0.0,0.0,1
13078,10.0,0.0,0.0,1
